id,last_name,money
229,Birgit Ecob,$5.12
230,Phoebe Ledamun,$2.25
231,Blondy MacDonell,$0.36
232,Marlane Aldins,$6.32
233,Jamil O'Kerin,$8.73
234,Ethelred Hannigane,$8.59
235,Camala Marti,$3.54
236,Hersch Vedntyev,$9.81
237,Taddeo Labone,$7.35
238,Tasia Vickerman,$8.96
239,Abdul Scritch,$4.47
240,Carley Gabby,$8.77
241,Thaine Philipsohn,$0.16
242,Sol Gilderoy,$8.76
243,Betteann Chainey,$0.47
244,Ashbey Stanlake,$6.71
245,Rubia Hibbart,$7.93
246,Stormi Kitson,$6.70
247,Prisca Kesper,$0.92
248,Carling Thamelt,$0.41
249,Hayes Gloster,$6.22
250,Beverly Stubbin,$6.98
251,Corenda Dell Casa,$9.68
252,Petr Carne,$3.72
253,Rafa Blumer,$1.79
254,Marvin Enrico,$0.29
255,Tony Dainter,$6.40
256,Guglielmo Smith,$4.09
257,Wilmar Lardier,$7.05
258,Stacee Mort,$2.78
259,Stefania Roderick,$7.02
260,Jana Harder,$3.14
261,Obidiah Mahoney,$4.41
262,Alyosha Alkin,$1.96
263,Ruy Iacovelli,$1.22
264,Ann Girdlestone,$8.49
265,Darby Rippen,$2.70
266,Ev Challicombe,$3.55
267,Nat Rhucroft,$2.06
268,Dame Figures,$6.64
269,Hermia de Courcy,$4.98
270,Samuel Glaze,$2.00
271,Petronella Baldi,$0.26
272,Bailie Crossgrove,$3.00
273,Drucy Pickin,$5.09
274,Rhonda Voase,$8.25
275,Cymbre Gresley,$7.91
276,Elsie Vanacci,$7.99
277,Richmound Starton,$5.13
278,Maible Dagger,$2.36
279,Hilary Hagan,$9.37
280,Kimberli Feuell,$5.96
281,Susy Gouley,$7.17
282,Joby O'Donegan,$8.79
283,Adams Cawdery,$8.80
284,Nickolaus Burberow,$8.82
285,Alia Blasli,$2.06
286,Joseph Pietrowski,$7.47
287,Patti Jorez,$2.89
288,Cesya Buckel,$2.21
289,Kordula Pearne,$3.02
290,Orsola Salthouse,$7.16
291,Avrom Hold,$9.75
292,Alikee Tanner,$1.52
293,Sydelle Mokes,$8.49
294,Concettina Elacoate,$0.39
295,Genny Erickssen,$7.73
296,Carmen Dakhov,$9.50
297,Erin Surmeir,$1.68
298,Kailey Marple,$3.10
299,Duky McLaine,$0.76
300,Dunc Skehens,$7.20
301,Mercy Haseley,$7.61
302,Clementia Stockton,$1.30
303,Blair Housaman,$4.20
304,Eberto Gostick,$1.14
305,Corrina Fifield,$9.83
306,Frans Lindeberg,$0.28
307,Calley Ailward,$8.89
308,Rainer Acreman,$3.41
309,Merill Drover,$3.98
310,Dag Benazet,$2.53
311,Steffi Helstrip,$8.33
312,Loria Hunnicutt,$6.11
313,Sarita Glayzer,$3.00
314,Gale Speak,$1.48
315,Agathe Stocks,$2.66
316,Drusy Rawlins,$4.01
317,Odie Growcott,$7.06
318,Carolina Millgate,$3.99
319,Augusto Glabach,$8.64
320,Kristoffer Muggeridge,$5.62
321,Dulcine McGlynn,$6.97
322,Steffen Duncanson,$1.34
323,Terrence Vidloc,$4.71
324,Kessiah Melsome,$7.10
325,Petronilla Marten,$7.22
326,Aguste Creser,$2.71
327,Elizabet Oki,$3.56
328,Brina Downer,$5.71
329,Thoma Flood,$5.06
330,Meredeth Croney,$6.98
331,Magnum Vala,$2.01
332,Johnnie Thal,$4.85
333,Morry Kemwal,$4.67
334,Lusa Keston,$8.78
335,Christy Steggles,$3.62
336,Karlyn Scarlet,$1.19
337,Horacio Attiwill,$2.05
338,Stefano Pybworth,$0.96
339,Dorise Kann,$3.98
340,Stace Heaseman,$0.67
341,Gus Clearley,$0.45
342,Lanni Yitzovitz,$1.75
343,Leelah Parrish,$3.05
344,Aurthur Filasov,$4.14
345,Dusty Thunnercliff,$9.63
346,Stevena Fradgley,$2.09
347,Tim Mahoney,$5.74
348,Maryjo Brompton,$4.75
349,Quinta Delucia,$6.99
350,Adina Djorvic,$7.71
351,Trey Cage,$0.07
352,Christabella Demicoli,$8.66
353,Chaddy Preece,$1.43
354,Livia Blanshard,$5.33
355,Pinchas Loveguard,$4.29
356,Dianne Vipan,$1.26
357,Anne-marie Drysdall,$4.91
358,Karlik Sutherel,$9.28
359,Dotty Ferrao,$2.55
360,Angel Buffham,$6.42
361,Esra Chasles,$3.14
362,Giavani Goodwin,$8.70
363,Demetri Coggins,$0.14
364,Dinnie Wisbey,$7.69
365,Nataline Plaid,$0.18
366,Tessa Bowden,$8.51
367,Corly Lomond,$3.97
368,Addy Overell,$3.54
369,Nickolaus Petticrow,$0.64
370,Sonni Basterfield,$3.27
371,Hyacinth Autry,$5.43
372,Jeana Andrelli,$1.98
373,Fanni Micklem,$5.41
374,Eugenius Chesshyre,$1.58
375,Cass Artingstall,$9.35
376,Roddie Sproson,$3.43
377,Annecorinne Goozee,$3.29
378,Marianne Choudhury,$7.67
379,Jasper Ivanin,$9.87
380,Sonya D' Angelo,$1.37
381,Daisy Yacobsohn,$5.26
382,Torre Puddicombe,$1.49
383,Billie Mourge,$6.68
384,Junie Gillett,$7.08
385,Bartolemo Tooting,$4.05
386,Helen Davion,$8.61
387,Loria Brounfield,$9.60
388,Klaus Sea,$7.10
389,Myrlene Vinas,$6.68
390,Krista Shallcross,$5.64
391,Aeriel De Castri,$6.95
392,Traci Goggin,$9.87
393,Raoul Boriston,$2.21
394,Cyrille MacCosty,$9.92
395,Olly McKeachie,$9.40
396,Catlaina Agutter,$7.06
397,Cloe Jerrard,$8.38
398,Loria Antliff,$8.83
399,Nanice Beeres,$3.41
400,Fletcher Fanner,$2.61
401,Brittan Yellowley,$7.26
402,Dora Croux,$8.80
403,Caldwell Quail,$0.38
404,Olympie Lamas,$5.10
405,Clayton Steinhammer,$0.74
406,Danni McLuckie,$3.83
407,Pietra Lumb,$2.95
408,Emery Geraghty,$7.25
409,Baldwin Fabler,$9.04
410,Duky Texton,$6.82
411,Marty Symones,$2.71
412,Sherilyn Walworche,$0.74
413,Estevan Curuclis,$0.07
414,Christoper Upjohn,$4.96
415,Valentine Gustus,$7.64
416,Gibb Novic,$8.94
417,Felicity Schoular,$4.90
418,Evangelina McCaskill,$3.41
419,Justine Alpin,$9.11
420,Karlie Willacot,$2.49
421,Ginny Syne,$0.77
422,Karola Dixey,$1.12
423,Rudd Cordon,$9.91
424,Agneta Stranahan,$3.01
425,Harli Linnit,$6.36
426,Kerstin Afield,$8.82
427,Ralph Mettetal,$0.37
428,Carine Boughen,$5.99
429,Silvester Lamport,$1.84
430,Stephani Danilowicz,$4.01
431,Demetria Westrope,$2.26
432,Valentijn Sikorski,$4.92
433,Jsandye Swafford,$5.45
434,Eimile Frunks,$0.05
435,Merrick Dello,$7.67
436,Benjie Issakov,$0.39
437,Alejandra Spadelli,$9.95
438,Seymour Ivanikhin,$4.27
439,Inessa Summerlie,$2.36
440,Lambert Jinkinson,$3.39
441,Inge Sowley,$9.22
442,Isaiah Van der Veldt,$7.45
443,Daisey Busby,$4.44
444,Hilton Mawne,$2.31
445,Danya Paff,$9.00
446,Frederic Macek,$2.02
447,Aristotle Trobey,$3.34
448,Janene Shill,$8.01
449,Kellen Branston,$1.31
450,Imogen Langhor,$6.20
451,Ambrosi Kalberer,$0.70
452,Eduard Whiteoak,$7.41
453,Blair Demaine,$3.73
454,Rafaela Meardon,$4.02
455,Ardeen Robun,$8.00
456,Kristen Twigger,$1.44
457,Tanhya Barchrameev,$3.27
458,Nomi Deeks,$5.13
459,Micheline Skoughman,$9.41
460,Rurik Bridgstock,$8.95
461,Kevin Willas,$2.50
462,Giles Stenners,$3.85
463,Byrom Autie,$9.24
464,Pansie Sewart,$6.16
465,Karlotte Eager,$0.49
466,Giffer Oppie,$4.47
467,Barbi Covell,$0.97
468,Audi Dilleston,$4.34
469,Gene Foss,$7.52
470,Natala Billanie,$1.33
471,Allissa Devinn,$9.83
472,Consalve McAmish,$6.00
473,Farrell Ollander,$9.60
474,Rafaelita Marchetti,$5.72
475,Joan Volcker,$7.57
476,Tiphany Bartos,$5.79
477,Amelia Gaitone,$3.35
478,Lindsey Lawtey,$6.00
479,Lorri Pipkin,$6.80
480,Reinold Van den Oord,$8.94
481,Christalle Ballefant,$4.06
482,Silva Fenix,$0.48
483,Harp Pumphreys,$7.95
484,Burg Bramo,$8.40
485,Sheba Tatum,$4.29
486,Cammy Ariss,$7.04
487,Myrna Swanger,$7.47
488,Fiann Kelsey,$4.08
489,Turner MacNeice,$4.43
490,Kattie Mocher,$6.30
491,Malorie Cadamy,$2.17
492,Laureen Matushevich,$0.40
493,Aidan Phelipeau,$3.46
494,Kora Boundy,$8.01
495,Cirstoforo Goodson,$7.43
496,Karlie Pillifant,$4.23
497,Sarette Vittery,$7.21
498,Brear Bonas,$4.16
499,Bobina Kaveney,$3.54
500,Cobbie Gascoyen,$9.35
501,Cortney Cornil,$9.21
502,Rose Reeves,$7.45
503,Joshuah Deering,$7.19
504,Gery Athelstan,$9.74
505,Gallard Perrelle,$0.89
506,Vinni Argabrite,$3.48
507,Wallie Gilhouley,$7.54
508,Fanchon Foston,$3.28
509,Ives Licciardi,$6.94
510,Gil Eagleton,$2.84
511,Lela Harron,$0.61
512,Marylee Scathard,$3.79
513,Anett Skentelbery,$0.12
514,Gradey Woolliams,$8.26
515,Cecilla Ansell,$0.01
516,Karalynn Di Giacomo,$6.35
517,Judye Shurville,$2.27
518,Rriocard Inseal,$5.58
519,Devin Oke,$9.11
520,Dana Arnefield,$1.84
521,Jemima Cradey,$2.50
522,Gerta Boyles,$0.38
523,Derrik Rolls,$2.40
524,Kiel Melby,$4.06
525,Nelson Samber,$6.15
526,Roxi Guilloud,$3.05
527,Lynea Lohering,$5.97
528,Traver Renshell,$0.48
529,Dewey Griffithe,$8.99
530,Britney Licquorish,$6.97
531,Dieter Musto,$5.96
532,Barn O'Fergus,$9.60
533,Thalia Madison,$8.86
534,Zaccaria Divall,$8.52
535,Chad Westney,$1.48
536,Abbott Cerro,$9.63
537,Dominique Acum,$2.78
538,Nye Rigden,$5.78
539,Yalonda Vize,$4.68
540,Jill Huelin,$6.47
541,Ruthann Skivington,$4.85
542,Sim Barley,$9.29
543,Becky Sanz,$8.43
544,Kermit Seavers,$6.68
545,Shurwood Armsby,$1.70
546,Wolfgang Butt,$4.11
547,Hadrian Sleightholme,$6.80
548,Alisander Dominighi,$2.73
549,Heidie Gilvary,$3.55
550,Doralyn Humfrey,$5.93
551,Candra Parnell,$0.97
552,Emiline McLewd,$8.83
553,Temple Ivey,$8.19
554,Chilton Yabsley,$6.39
555,Claribel Cowans,$3.67
556,Marlene Beaby,$4.92
557,Muriel Worsfield,$0.01
558,Kelley Bonevant,$5.24
559,Kare Hallagan,$7.32
560,Rosette Boxe,$5.05
561,Lenore Neale,$4.60
562,Trace Lardeux,$1.87
563,Lillis Fenna,$5.43
564,Lorelle Leivesley,$6.11
565,Linoel Joselson,$5.79
566,Thane Dible,$4.00
567,Spense Pottie,$7.21
568,Llywellyn Greystoke,$0.96
569,Filbert Spenclay,$3.90
570,Tymon Gethen,$4.88
571,Teodoor Luce,$1.03
572,Norris Seal,$8.18
573,Marguerite Darwent,$9.76
574,Nadean Brownsett,$4.64
575,Warren Kinglake,$2.84
576,Pietra Halsworth,$1.91
577,Jacynth Erickson,$0.90
578,Gaby Launder,$8.03
579,Rhonda Kidstone,$8.79
580,Leyla Choke,$3.81
581,Boy Arnet,$3.71
582,Joye Simnell,$7.16
583,Erie Lorenzo,$4.01
584,Dov Kleinerman,$6.67
585,Ephrayim Ovanesian,$3.27
586,Jerry Lawden,$0.67
587,Mano Treby,$8.69
588,Lanny Vondracek,$2.42
589,Jacynth Bruyns,$4.08
590,Sibel Hardinge,$8.47
591,Sherilyn Yewdell,$4.09
592,Brear Paulmann,$3.92
593,Boniface Borthram,$8.40
594,Hendrick Deavall,$3.85
595,Virgie Waywell,$2.37
596,Dill Comer,$0.69
597,Sanson Hallas,$9.57
598,Linnie Rabbatts,$4.46
599,Archaimbaud Wimmer,$5.16
600,Sibella Levee,$9.74
601,Richart Wedon,$2.06
602,Roderick Simner,$1.89
603,Angelico Hordle,$4.81
604,Gabrila Gearing,$5.12
605,Axe Janko,$7.31
606,Elliott Birtwell,$1.25
607,Ceil Gorger,$2.31
608,Maurie Dacke,$4.01
609,Zacharias Ilchuk,$0.54
610,Kingsly Beddo,$8.59
611,Barbara-anne Tolputt,$1.28
612,Orsola Streetley,$6.41
613,Frederica Putman,$2.55
614,Arabella Storks,$0.63
615,Gypsy McFeat,$5.70
616,Felizio Northway,$0.28
617,Alli Housecraft,$9.64
618,Agosto Raigatt,$6.83
619,Ivory Karlsson,$4.36
620,Laina Coke,$2.31
621,Ulric Tutchell,$3.55
622,Jeanne Montel,$7.45
623,Sutherlan Hankins,$6.68
624,Elvera Annand,$7.19
625,Rustin Wyett,$0.91
626,Ardenia Rowet,$7.76
627,Anastasia Boustead,$9.46
628,Germayne Georgins,$4.33
629,Monika Emery,$7.16
630,Avril Hawe,$8.67
631,Jody Digance,$2.16
632,Sumner Gummary,$9.64
633,Mannie Lackmann,$5.79
634,Eddy Honywill,$0.45
635,Northrop MacPaik,$2.70
636,Dal D'Onisi,$7.90
637,Zonnya Hillatt,$7.09
638,Adelind Studman,$7.93
639,Daryl Rabl,$6.04
640,Dur Lismer,$4.41
641,Enos Streater,$1.46
642,Heath Widdocks,$8.21
643,Dalis O'Hagan,$7.17
644,Wood Harrap,$0.93
645,Darnall Preddy,$2.00
646,Georgiana Wrankling,$5.83
647,Pembroke Rousby,$9.92
648,Arnie Jaquin,$7.05
649,Amandi Prose,$2.32
650,Uri Calrow,$6.20
651,Wald Carlick,$5.76
652,Madlen Liger,$6.72
653,Mellisa Maile,$5.64
654,Lenard Boyle,$1.70
655,Carleen Cracknall,$9.69
656,Evania Nafzger,$8.19
657,Hermia Chessell,$4.28
658,Melinde Banat,$4.18
659,Bail Bredgeland,$0.73
660,Ursuline Aizlewood,$1.49
661,Phillie Shreeves,$5.82
662,Nadine Klicher,$0.95
663,Mercy Nortcliffe,$8.56
664,Krissie Nobbs,$3.14
665,Norbie Crebott,$6.97
666,Andie Yarnold,$0.42
667,Xylina Anthiftle,$5.98
668,Darrin Getcliffe,$4.08
669,Marne Cokayne,$0.19
670,Marguerite Mantione,$0.66
671,Cassandra Rowlatt,$5.21
672,Elisabeth Shayes,$4.70
673,Tracy Croad,$8.90
674,Hally Urch,$7.14
675,Hortense Noyes,$3.81
676,Shayne Durn,$2.82
677,Micheal McGourty,$7.35
678,Ashby Just,$5.80
679,Alanah Haycroft,$7.68
680,Russell Sibbet,$3.78
681,Morena Philipeaux,$9.34
682,Carleton Bunney,$6.29
683,Hebert McSweeney,$2.53
684,Elisa Puckring,$0.24
685,Cristi Spehr,$6.58
686,Chloe Rumsby,$1.50
687,Quintus Crippell,$8.99
688,Jessica Fincke,$6.43
689,Haleigh Cesconi,$3.11
690,Dix Digg,$6.51
691,Winona Abrahamoff,$7.77
692,Cami Peacop,$9.45
693,Callean Maddison,$6.82
694,Gerry Rosita,$7.64
695,Earvin Dundon,$1.13
696,Adan Clother,$3.98
697,Davie Birts,$8.07
698,Tarrance Chong,$5.97
699,Saree Swaine,$4.88
700,Laina Baudrey,$0.90
701,Ashien Flanaghan,$6.47
702,Celestine Figge,$8.53
703,Mirna Golland,$0.40
704,Pennie McLinden,$6.83
705,Dolores Stannard,$3.63
706,Elicia Kellog,$4.59
707,Korrie Hampton,$7.06
708,Chiquia Hanaford,$3.10
709,Ruddie Oldis,$4.99
710,Malory Figg,$3.35
711,Mordecai Jentgens,$9.57
712,Melody Etienne,$6.01
713,Aldous Borborough,$7.87
714,Ranee Dalgety,$0.28
715,Hayyim Pinching,$4.64
716,Jermain Dunkerk,$1.28
717,Sasha Kesterton,$1.16
718,Wilton Bowton,$1.57
719,Ettore Pressey,$8.03
720,Lizzy Hundy,$9.31
721,Donelle Colerick,$7.80
722,Jeddy Steckings,$4.42
723,Lucine Fere,$4.89
724,Armstrong Kilday,$5.26
725,Frederica Bransby,$8.06
726,Moshe Collard,$7.72
727,Bobina Slatford,$4.03
728,Marty Fletcher,$5.84
729,Malva Ancliffe,$6.22
730,Noelle Eaton,$3.09
731,Wallis Bourgourd,$7.09
732,Durant Berdale,$3.20
733,Butch Cownden,$5.08
734,Alaster Galletly,$8.57
735,Rodie Haldenby,$9.82
736,Saundra Dalby,$4.25
737,Malena Fynn,$4.37
738,Phaidra Casa,$6.68
739,Margret Sabben,$7.50
740,Otis McGuirk,$6.75
741,Silvain Bortolussi,$4.35
742,Alexei Lyosik,$2.09
743,Theresita Baudacci,$6.91
744,Dallas Van der Hoven,$1.15
745,Renie McAster,$9.22
746,Jemimah Flynn,$7.40
747,Benson Haggeth,$1.57
748,Elinore Taffe,$2.54
749,Haley Butchart,$9.57
750,Charita Durno,$9.05
751,Jandy McKibbin,$1.37
752,Kelsy Buttrey,$3.93
753,Glenna Grossier,$1.79
754,Viv Servis,$0.39
755,Louie Braams,$3.33
756,Tammy Rickert,$9.87
757,Mommy Hariot,$6.62
758,Madalyn De Gouy,$7.91
759,Benetta Stanford,$1.19
760,Siffre Kettles,$9.49
761,Peria Osgorby,$7.38
762,Jarib Sumsion,$2.10
763,Burt Theobald,$1.16
764,Khalil Morecombe,$5.01
765,Evangelina Ebdin,$4.38
766,Borg Boatright,$2.96
767,Garvin Tott,$9.52
768,Brocky Rowatt,$2.07
769,Christen Benkhe,$4.84
770,Debi Loudon,$0.99
771,Garner Drewery,$2.67
772,Granger McReidy,$2.10
773,Janos Shefton,$4.91
774,Tynan Guille,$4.21
775,Kelly Narbett,$9.27
776,Isabelle Henriquet,$0.92
777,Larine Meert,$4.73
778,Row Wittke,$8.56
779,Haze Heatherington,$6.15
780,Zita Ferrino,$5.44
781,Curt Garratty,$7.04
782,Raffaello Nusche,$2.91
783,Smith Dresse,$5.13
784,Rubina Bucke,$3.20
785,Gerhardine Ashling,$6.53
786,Kiele Weadick,$7.94
787,Arda Bathowe,$2.52
788,Natassia California,$8.39
789,Ron Finey,$7.28
790,Charline Dulanty,$9.68
791,Tulley Ricards,$5.75
792,Darin Silman,$5.16
793,Brit Bligh,$4.79
794,Meade Ferminger,$1.22
795,Kellia Lugard,$4.62
796,Mavra Starr,$7.64
797,Louella MacLoughlin,$3.53
798,Delora Berardt,$1.64
799,Emilio Pfeffle,$7.05
800,Stevie Castaignet,$8.14
801,Grace Havill,$1.63
802,Larissa Setford,$0.25
803,Evaleen Truce,$9.52
804,Lilah Mosedall,$5.03
805,Halli Britney,$2.41
806,Kaycee Turnpenny,$8.00
807,Olenolin Michiel,$3.47
808,Mohandas Colomb,$0.04
809,Aveline Olney,$3.31
810,Blondelle Fermoy,$8.38
811,Georgina Risen,$3.21
812,Kylie Aberdein,$0.80
813,Mariska Ives,$2.09
814,Patti Westby,$9.10
815,Dasi Ardling,$8.66
816,Urbanus Maclean,$5.33
817,Weber Teasell,$3.44
818,Annamarie Dunbobbin,$2.71
819,Munroe Lohmeyer,$7.60
820,Adrea Medford,$8.73
821,Libbey Teare,$8.39
822,Tate Josselson,$2.81
823,Sonnnie Extil,$7.66
824,Alphonse Cadding,$0.37
825,Shadow Plover,$8.19
826,Baily Lowbridge,$2.68
827,Venus Piggott,$4.28
828,Bianca Spearman,$7.06
829,Kat Huckin,$0.83
830,Joel Brimblecomb,$5.26
831,Casandra Schollick,$3.82
832,Gardie Lemmers,$6.92
833,Roxy Dumbelton,$9.34
834,Martin O'Sherin,$1.83
835,Parry Ewbach,$0.72
836,Padriac Itzchaki,$8.92
837,Gabbey Necolds,$6.73
838,Gabie Kaysor,$7.70
839,Kellen Le Page,$6.73
840,Grete Emmanuel,$0.39
841,Pegeen Barense,$4.86
842,Elberta Marmon,$9.83
843,Riki Markson,$0.68
844,Atalanta Hallihan,$4.14
845,Vale Jerg,$5.00
846,Constantina Simukov,$9.76
847,Ddene Scala,$2.34
848,Brigit Friedank,$3.21
849,Frasier Chisnall,$8.45
850,Devora Withull,$0.32
851,Giorgia Penchen,$7.74
852,Ansell Vitall,$6.34
853,Rozina Di Biagio,$4.13
854,Arielle Tolchard,$7.08
855,Keriann Vernau,$5.32
856,Nikolia Gait,$5.00
857,Harry Walley,$2.30
858,Jonathan Haslam,$8.09
859,Aluino Sparry,$5.39
860,Tony Toderini,$0.90
